unique_id,block_num,unit_count,case_type_name,submission_year,block_address,occupancy_type,occupancy_or_vacancy_date,occupancy_or_vacancy_date_year,bedroom_count,bathroom_count,square_footage,monthly_rent,base_rent_includes_water_sewer,base_rent_includes_natural_gas,base_rent_includes_electricity,base_rent_includes_refuse_recycling,base_rent_includes_other_utilities,past_occupancy,vacancy_date,signature_date,occupancy_or_vacancy_date_history,year_property_built,point,analysis_neighborhood,supervisor_district,data_as_of,data_loaded_at
4954258646076502265,7331,219,Housing Inventory - Unit information (2023),2023,0 Block of CHUMASERO DR,Vacant,nan,2023,One-Bedroom,One bathroom,751-1000 Sq.Ft,nan,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.473318473 37.714384926),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
5465711111802241417,7331,219,Housing Inventory - Unit information (2023),2023,0 Block of CHUMASERO DR,Vacant,nan,2023,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,nan,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.473318473 37.714384926),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-2741308898399576036,7331,219,Housing Inventory - Unit information (2023),2023,0 Block of CHUMASERO DR,Vacant,nan,2023,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,nan,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.473318473 37.714384926),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
1366439838814867949,7331,219,Housing Inventory - Unit information (2023),2023,0 Block of CHUMASERO DR,Vacant,nan,2023,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,nan,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.473318473 37.714384926),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
5459786205062167793,7331,219,Housing Inventory - Unit information (2023),2023,0 Block of CHUMASERO DR,Vacant,nan,2023,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,nan,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.473318473 37.714384926),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
530092420521533347,7331,219,Housing Inventory - Unit information (2023),2023,0 Block of CHUMASERO DR,Vacant,nan,2023,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,nan,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.473318473 37.714384926),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-4650629281072688620,7331,219,Housing Inventory - Unit information (2023),2023,0 Block of CHUMASERO DR,Vacant,nan,2023,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,nan,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.473318473 37.714384926),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-412585414826694459,7331,219,Housing Inventory - Unit information (2023),2023,0 Block of CHUMASERO DR,Vacant,nan,2023,Two-Bedroom,Two bathrooms,1001-1250 Sq.Ft,nan,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.473318473 37.714384926),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-8135795764900425260,7331,219,Housing Inventory - Unit information (2023),2023,0 Block of CHUMASERO DR,Vacant,nan,2023,One-Bedroom,One bathroom,751-1000 Sq.Ft,nan,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.473318473 37.714384926),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
-1771217109164059849,7331,219,Housing Inventory - Unit information (2023),2023,100 Block of FONT BLVD,Vacant,nan,2023,Three-Bedroom,Two and a half bathrooms,1251-1500 Sq.Ft,nan,N,N,N,N,nan,No,nan,2023-03-27T00:00:00.000,nan,,POINT (-122.473807669 37.71536259),Lakeshore,7,2025-02-12T01:30:26.000,2025-02-12T06:05:50.832
