timestamp,size,latitude,longitude,location,state
2021-04-07 04:45:00.000000 UTC,100,37.29,-98.58,MEDICINE LODGE,KS
2021-04-07 01:34:00.000000 UTC,125,38.29,-98.99,2 NNW PAWNEE ROCK,KS
2021-04-07 02:45:00.000000 UTC,150,38.29,-98.76,6 SSE GREAT BEND,KS
2021-04-07 03:03:00.000000 UTC,100,38.36,-98.79,1 E GREAT BEND,KS
2021-04-07 03:39:00.000000 UTC,100,38.36,-98.58,ELLINWOOD,KS
2021-05-16 23:02:00.000000 UTC,125,38.52,-98.78,HOISINGTON,KS
2021-09-15 01:10:00.000000 UTC,200,38.36,-98.76,1 SE GREAT BEND,KS
2021-09-15 01:40:00.000000 UTC,100,38.52,-98.77,HOISINGTON,KS
2021-06-12 02:00:00.000000 UTC,175,37.79,-97.11,BENTON,KS
2021-07-10 20:17:00.000000 UTC,175,37.61,-96.61,5 NNE LATHAM,KS
2021-03-17 11:00:00.000000 UTC,100,37.1,-94.63,2 NNE GALENA,KS
2021-03-17 11:22:00.000000 UTC,100,37.1,-94.63,2 NNE GALENA,KS
2021-04-09 21:59:00.000000 UTC,100,37.3,-94.71,4 ESE WEIR,KS
2021-04-28 01:00:00.000000 UTC,300,39.75,-102.05,13 W SAINT FRANCIS,KS
2021-04-28 01:18:00.000000 UTC,150,39.78,-101.87,4 W SAINT FRANCIS,KS
2021-04-28 01:35:00.000000 UTC,100,39.86,-101.78,6 N SAINT FRANCIS,KS
2021-04-28 01:35:00.000000 UTC,100,39.9,-101.53,10 N BIRD CITY,KS
2021-05-02 23:35:00.000000 UTC,100,39.75,-101.53,BIRD CITY,KS
2021-05-14 00:00:00.000000 UTC,175,39.77,-101.8,SAINT FRANCIS,KS
2021-05-14 00:11:00.000000 UTC,175,39.87,-101.99,12 NW SAINT FRANCIS,KS
2021-05-14 00:21:00.000000 UTC,200,39.77,-101.8,SAINT FRANCIS,KS
2021-07-18 21:10:00.000000 UTC,125,39.76,-101.71,WHEELER,KS
2021-07-18 21:25:00.000000 UTC,100,39.72,-101.71,3 S WHEELER,KS
2021-08-10 00:30:00.000000 UTC,100,39.76,-102.03,12 W SAINT FRANCIS,KS
2021-08-19 22:05:00.000000 UTC,100,39.68,-101.86,7 SSW SAINT FRANCIS,KS
2021-06-26 00:22:00.000000 UTC,100,37.43,-100.05,2 WSW MINNEOLA,KS
2021-08-11 00:05:00.000000 UTC,250,37.46,-100.09,5 WNW MINNEOLA,KS
2021-05-27 07:22:00.000000 UTC,100,39.52,-97.13,5 NE MORGANVILLE,KS
2021-08-11 02:03:00.000000 UTC,100,39.52,-97.87,6 S JAMESTOWN,KS
2021-06-21 01:11:00.000000 UTC,100,38.27,-95.77,2 WNW NEW STRAWN,KS
2021-10-11 00:35:00.000000 UTC,175,38.27,-95.64,6 E NEW STRAWN,KS
2021-09-30 04:10:00.000000 UTC,125,37.13,-99.4,4 WNW BUTTERMILK,KS
2021-06-12 03:33:00.000000 UTC,250,37.06,-97.0,3 ESE ARKANSAS CITY,KS
2021-09-08 00:55:00.000000 UTC,100,37.46,-94.9,4 WNW BEULAH,KS
2021-05-24 23:18:00.000000 UTC,175,39.59,-100.68,7 WNW SELDEN,KS
2021-05-26 18:15:00.000000 UTC,100,39.74,-100.53,6 S OBERLIN,KS
2021-05-26 23:12:00.000000 UTC,175,40.0,-100.66,5 N TRAER,KS
2021-05-27 00:53:00.000000 UTC,150,39.58,-100.22,5 W NEW ALMELO,KS
2021-05-27 01:05:00.000000 UTC,175,39.86,-100.73,4 SE HERNDON,KS
2021-05-27 01:20:00.000000 UTC,100,39.91,-100.68,2 SW TRAER,KS
2021-08-08 00:12:00.000000 UTC,175,39.61,-100.67,7 NW SELDEN,KS
2021-05-09 02:15:00.000000 UTC,100,38.92,-97.21,ABILENE,KS
2021-06-25 20:29:00.000000 UTC,100,38.92,-95.33,3 ENE CLINTON,KS
2021-08-16 02:04:00.000000 UTC,100,37.9,-99.23,3 SSE LEWIS,KS
2021-09-14 22:45:00.000000 UTC,175,37.78,-99.36,6 WSW CENTERVIEW,KS
2021-09-14 23:15:00.000000 UTC,125,37.9,-99.25,3 S LEWIS,KS
2021-09-14 23:30:00.000000 UTC,125,37.94,-99.23,1 E LEWIS,KS
2021-04-06 23:45:00.000000 UTC,200,38.71,-99.17,PFEIFER,KS
2021-05-08 23:25:00.000000 UTC,100,38.88,-99.32,HAYS,KS
2021-05-08 23:45:00.000000 UTC,175,38.97,-99.21,3 N CATHERINE,KS
2021-05-15 00:40:00.000000 UTC,175,38.95,-99.56,1 NNW ELLIS,KS
2021-05-15 01:23:00.000000 UTC,175,38.71,-99.33,SCHOENCHEN,KS
2021-05-26 18:25:00.000000 UTC,100,38.94,-99.56,ELLIS,KS
2021-05-26 18:40:00.000000 UTC,225,38.94,-99.56,ELLIS,KS
2021-05-26 19:08:00.000000 UTC,275,38.88,-99.32,HAYS,KS
2021-05-26 19:30:00.000000 UTC,400,38.85,-99.32,2 S HAYS,KS
2021-05-26 19:56:00.000000 UTC,175,38.86,-99.3,1 SE HAYS,KS
2021-05-26 20:23:00.000000 UTC,200,38.86,-99.15,VICTORIA,KS
2021-05-26 20:30:00.000000 UTC,100,38.71,-99.33,SCHOENCHEN,KS
2021-07-18 17:20:00.000000 UTC,100,38.88,-99.32,HAYS,KS
2021-08-12 23:55:00.000000 UTC,100,38.91,-99.32,2 N Hays,KS
2021-05-08 15:10:00.000000 UTC,150,38.85,-97.94,5 SW GLENDALE,KS
2021-05-09 00:49:00.000000 UTC,100,38.74,-98.27,2 W ELLSWORTH,KS
2021-05-09 01:04:00.000000 UTC,100,38.73,-98.23,ELLSWORTH,KS
2021-05-09 01:50:00.000000 UTC,100,38.85,-98.27,8 NNW ELLSWORTH,KS
2021-05-09 02:42:00.000000 UTC,150,38.85,-98.19,8 NNE ELLSWORTH,KS
2021-05-09 03:10:00.000000 UTC,150,38.85,-97.94,5 SW GLENDALE,KS
2021-05-26 23:00:00.000000 UTC,100,38.65,-98.03,KANOPOLIS STATE PARK,KS
2021-05-26 23:24:00.000000 UTC,150,38.59,-98.41,HOLYROOD,KS
2021-05-27 00:15:00.000000 UTC,125,38.53,-98.15,1 N GENESEO,KS
2021-08-15 22:37:00.000000 UTC,175,38.71,-98.16,KANOPOLIS,KS
2021-08-13 00:02:00.000000 UTC,100,38.88,-99.32,Hays,KS
2021-05-25 01:35:00.000000 UTC,100,37.98,-100.86,GARDEN CITY,KS
2021-05-25 02:05:00.000000 UTC,175,37.85,-100.87,3 N PLYMELL,KS
2021-05-25 02:32:00.000000 UTC,200,37.83,-100.77,5 ENE PLYMELL,KS
2021-08-07 22:10:00.000000 UTC,250,38.24,-101.09,10 W FRIEND,KS
2021-05-05 22:35:00.000000 UTC,175,37.78,-100.02,1 N DODGE CITY,KS
2021-08-10 21:45:00.000000 UTC,125,37.72,-99.91,2 ESE FT. DODGE,KS
2021-08-10 23:20:00.000000 UTC,125,37.48,-100.14,7 NNE FOWLER,KS
2021-08-11 00:06:00.000000 UTC,275,37.49,-100.11,6 WNW MINNEOLA,KS
2021-08-11 00:40:00.000000 UTC,200,37.49,-100.08,5 NW MINNEOLA,KS
2021-10-27 02:12:00.000000 UTC,100,37.89,-99.57,1 W OFFERLE,KS
2021-12-15 23:24:00.000000 UTC,100,38.68,-95.43,5 N POMONA,KS
2021-05-09 02:34:00.000000 UTC,100,38.99,-96.96,4 E CHAPMAN,KS
2021-05-15 01:43:00.000000 UTC,100,39.13,-100.63,GRINNELL,KS
2021-05-15 00:42:00.000000 UTC,200,39.35,-100.16,STUDLEY,KS
2021-05-15 01:04:00.000000 UTC,150,39.27,-100.07,6 S MORLAND,KS
2021-05-16 23:20:00.000000 UTC,125,39.35,-100.08,MORLAND,KS
2021-05-16 23:46:00.000000 UTC,175,39.35,-100.08,MORLAND,KS
2021-05-27 02:44:00.000000 UTC,100,39.37,-99.84,HILL CITY,KS
2021-05-27 03:00:00.000000 UTC,100,39.36,-99.69,BOGUE,KS
2021-05-25 02:57:00.000000 UTC,100,37.71,-101.44,10 NNW ULYSSES,KS
2021-05-16 03:06:00.000000 UTC,175,37.59,-100.59,4 NNE COPELAND,KS
2021-05-27 00:22:00.000000 UTC,100,37.49,-100.49,8 SSW MONTEZUMA,KS
2021-05-27 00:25:00.000000 UTC,100,37.67,-100.23,1 N ENSIGN,KS
2021-07-04 21:35:00.000000 UTC,175,37.92,-100.35,8 N CIMARRON,KS
