Condition,Age (Years),Gender (1:Male; 2: Female),Yawned (1:yes; 0: no),Yawn Frequency,Sleep (Hours),Tiredness Scale (1-10)
0.Control,26,1,1,2,8,8
0.Control,28,2,0,0,8,2
0.Control,55,2,0,0,7,2
0.Control,34,2,0,0,7,4
0.Control,32,1,0,0,7,1
0.Control,30,1,1,9,8,10
0.Control,30,1,1,12,5,9
0.Control,36,2,0,0,8,3
0.Control,35,1,0,0,8,10
0.Control,31,2,1,5,8,8
0.Control,43,2,0,0,7,2
0.Control,40,1,0,0,7,3
0.Control,34,2,0,0,8,2
0.Control,28,2,1,3,8,8
0.Control,35,1,1,4,8,6
0.Control,25,2,0,0,7,4
0.Control,21,2,0,0,6,10
0.Control,47,2,0,0,8,3
0.Control,34,1,0,0,8,1
0.Control,30,1,0,0,7,4
0.Control,30,2,0,0,8,8
0.Control,35,2,0,0,8,10
0.Control,29,1,1,12,7,10
0.Control,29,2,1,12,3,10
0.Control,44,1,0,0,8,6
0.Control,35,1,1,3,6,7
0.Control,27,1,0,0,7,3
0.Control,27,2,0,0,6,3
0.Control,22,1,0,0,7,2
0.Control,38,1,0,0,7,4
0.Control,74,1,0,0,8,1
0.Control,26,1,0,0,7,3
0.Control,34,1,0,0,7,7
0.Control,42,2,0,0,8,1
0.Control,28,2,0,0,6,2
0.Control,21,1,1,12,8,9
0.Control,30,1,1,5,7,3
0.Control,52,2,0,0,8,9
1.Fish,69,2,1,6,7,9
1.Fish,58,2,1,3,5,10
1.Fish,58,1,0,0,6,3
1.Fish,56,2,1,8,8,9
1.Fish,48,1,0,0,6,7
1.Fish,46,1,0,0,8,3
1.Fish,45,1,1,5,9,1
1.Fish,42,2,1,5,8,8
1.Fish,42,1,0,0,8,1
1.Fish,41,2,1,12,12,7
1.Fish,37,1,1,2,6,6
1.Fish,37,2,0,0,7,3
1.Fish,36,2,1,3,8,1
1.Fish,35,1,1,2,8,4
1.Fish,35,1,1,12,7,6
1.Fish,35,1,1,12,6,7
1.Fish,34,1,0,0,5,7
1.Fish,33,2,1,2,8,8
1.Fish,30,1,1,1,6,7
1.Fish,30,2,1,5,8,9
1.Fish,30,2,1,3,6,9
1.Fish,29,1,0,0,6,1
1.Fish,29,1,1,5,7,7
1.Fish,28,1,0,0,9,3
1.Fish,27,1,1,10,9,4
1.Fish,26,1,0,0,8,9
1.Fish,26,1,0,0,8,9
1.Fish,25,2,0,0,7,5
1.Fish,25,1,1,2,8,3
1.Fish,25,2,1,5,8,9
1.Fish,25,1,1,3,8.5,8
1.Fish,22,1,1,2,5,9
2.Amphib,26,2,1,9,9,9
2.Amphib,64,1,0,0,7,1
2.Amphib,60,1,1,5,7,7
2.Amphib,55,1,1,4,6,9
2.Amphib,54,2,0,0,8,3
2.Amphib,53,1,0,0,5,6
2.Amphib,50,2,0,0,8,7
2.Amphib,49,2,1,4,5,9
2.Amphib,45,1,1,3,8,1
2.Amphib,44,1,1,3,7,9
2.Amphib,42,1,0,0,8,2
2.Amphib,41,2,1,5,6,8
2.Amphib,41,1,1,12,4,10
2.Amphib,41,1,0,0,8,3
2.Amphib,41,2,1,12,8,2
2.Amphib,38,2,0,0,7,1
2.Amphib,38,1,0,0,8,6
2.Amphib,36,1,0,0,8,6
2.Amphib,36,2,1,2,8,5
2.Amphib,35,1,0,0,8,2
2.Amphib,35,2,1,5,8,7
2.Amphib,35,2,1,2,2,8
2.Amphib,34,1,1,2,8,7
2.Amphib,34,1,0,0,6,3
2.Amphib,33,1,0,0,6,7
2.Amphib,30,2,0,0,7,3
2.Amphib,30,2,1,5,8,6
2.Amphib,29,1,0,0,6,2
2.Amphib,28,1,1,4,8,2
2.Amphib,28,1,1,2,6,9
2.Amphib,28,2,0,0,7,1
2.Amphib,26,1,1,5,8,1
2.Amphib,25,2,1,6,8,7
2.Amphib,25,2,1,2,5,8
2.Amphib,25,1,0,0,8,2
2.Amphib,25,2,1,1,8,7
2.Amphib,24,1,1,4,2,9
2.Amphib,24,2,0,0,8,2
3.Reptile,28,1,1,3,3,9
3.Reptile,40,1,1,10,9,8
3.Reptile,40,1,1,5,9,9
3.Reptile,58,1,1,2,1,8
3.Reptile,48,2,1,6,8,4
3.Reptile,47,1,0,0,8,1
3.Reptile,47,2,0,0,8,1
3.Reptile,45,1,1,2,8,5
3.Reptile,45,2,1,12,8,7
3.Reptile,41,1,0,0,7,2
3.Reptile,41,1,0,0,8,1
3.Reptile,41,1,1,12,8,9
3.Reptile,40,1,1,1,5,6
3.Reptile,37,2,1,2,8,7
3.Reptile,35,2,0,0,8,1
3.Reptile,32,1,0,0,6,3
3.Reptile,31,1,0,0,8,1
3.Reptile,31,2,1,2,7,7
3.Reptile,30,2,1,6,5,10
3.Reptile,30,2,1,5,8,9
3.Reptile,29,1,0,0,7,2
3.Reptile,29,1,1,12,7,3
